timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Filename,Latency,Connect
1436670139003,144,HTTP Request,200,OK,Thread Group 1-1,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,144,72
1436670139178,143,HTTP Request,200,OK,Thread Group 1-2,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,143,67
1436670139378,143,HTTP Request,200,OK,Thread Group 1-3,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,143,70
1436670139579,151,HTTP Request,200,OK,Thread Group 1-4,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,151,78
1436670139780,144,HTTP Request,200,OK,Thread Group 1-5,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,144,71
1436670139980,141,HTTP Request,200,OK,Thread Group 1-6,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,141,67
1436670140182,148,HTTP Request,200,OK,Thread Group 1-7,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,147,69
1436670140379,142,HTTP Request,200,OK,Thread Group 1-8,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,141,69
1436670140579,142,HTTP Request,200,OK,Thread Group 1-9,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,141,69
1436670140782,135,HTTP Request,200,OK,Thread Group 1-10,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,135,66
1436670140980,141,HTTP Request,200,OK,Thread Group 1-11,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,141,69
1436670141185,140,HTTP Request,200,OK,Thread Group 1-12,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,139,67
1436670141408,140,HTTP Request,200,OK,Thread Group 1-13,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,140,69
1436670141590,140,HTTP Request,200,OK,Thread Group 1-14,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,139,68
1436670141783,139,HTTP Request,200,OK,Thread Group 1-15,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,138,69
1436670141993,141,HTTP Request,200,OK,Thread Group 1-16,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,141,69
1436670142193,142,HTTP Request,200,OK,Thread Group 1-17,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,141,68
1436670142399,142,HTTP Request,200,OK,Thread Group 1-18,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,141,70
1436670142600,161,HTTP Request,200,OK,Thread Group 1-19,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,160,90
1436670142801,141,HTTP Request,200,OK,Thread Group 1-20,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,141,70
1436670142999,142,HTTP Request,200,OK,Thread Group 1-21,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,142,69
1436670143201,142,HTTP Request,200,OK,Thread Group 1-22,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,142,70
1436670143400,150,HTTP Request,200,OK,Thread Group 1-23,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,150,70
1436670143606,138,HTTP Request,200,OK,Thread Group 1-24,text,true,156,1,1,http://52.10.207.79:8080/checkpasswd,,138,67
