timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Filename,Latency,Connect
1436676626551,143,HTTP Request,200,OK,Thread Group 1-1,text,true,216,1,1,http://52.10.207.79:8080/getComments,,142,69
1436676676134,138,HTTP Request,200,OK,Thread Group 1-1,text,true,216,1,1,http://52.10.207.79:8080/getComments,,138,67
1436676676331,138,HTTP Request,200,OK,Thread Group 1-2,text,true,216,1,1,http://52.10.207.79:8080/getComments,,137,68
1436676676534,138,HTTP Request,200,OK,Thread Group 1-3,text,true,216,1,1,http://52.10.207.79:8080/getComments,,138,67
1436676676732,138,HTTP Request,200,OK,Thread Group 1-4,text,true,216,1,1,http://52.10.207.79:8080/getComments,,137,66
1436676676931,138,HTTP Request,200,OK,Thread Group 1-5,text,true,216,1,1,http://52.10.207.79:8080/getComments,,138,67
1436676677137,145,HTTP Request,200,OK,Thread Group 1-6,text,true,216,1,1,http://52.10.207.79:8080/getComments,,144,71
1436676677332,155,HTTP Request,200,OK,Thread Group 1-7,text,true,216,1,1,http://52.10.207.79:8080/getComments,,155,84
1436676677539,141,HTTP Request,200,OK,Thread Group 1-8,text,true,216,1,1,http://52.10.207.79:8080/getComments,,140,68
1436676677735,142,HTTP Request,200,OK,Thread Group 1-9,text,true,216,1,1,http://52.10.207.79:8080/getComments,,141,69
1436676677935,143,HTTP Request,200,OK,Thread Group 1-10,text,true,216,1,1,http://52.10.207.79:8080/getComments,,142,68
1436676678138,142,HTTP Request,200,OK,Thread Group 1-11,text,true,216,1,1,http://52.10.207.79:8080/getComments,,141,69
1436676678340,139,HTTP Request,200,OK,Thread Group 1-12,text,true,216,1,1,http://52.10.207.79:8080/getComments,,139,68
1436676678543,142,HTTP Request,200,OK,Thread Group 1-13,text,true,216,1,1,http://52.10.207.79:8080/getComments,,141,67
1436676678739,141,HTTP Request,200,OK,Thread Group 1-14,text,true,216,1,1,http://52.10.207.79:8080/getComments,,141,69
1436676678946,140,HTTP Request,200,OK,Thread Group 1-15,text,true,216,1,1,http://52.10.207.79:8080/getComments,,139,67
1436676679143,144,HTTP Request,200,OK,Thread Group 1-16,text,true,216,1,1,http://52.10.207.79:8080/getComments,,144,71
1436676679342,142,HTTP Request,200,OK,Thread Group 1-17,text,true,216,1,1,http://52.10.207.79:8080/getComments,,142,69
1436676679547,143,HTTP Request,200,OK,Thread Group 1-18,text,true,216,1,1,http://52.10.207.79:8080/getComments,,142,69
1436676679744,139,HTTP Request,200,OK,Thread Group 1-19,text,true,216,1,1,http://52.10.207.79:8080/getComments,,139,67
1436676679942,141,HTTP Request,200,OK,Thread Group 1-20,text,true,216,1,1,http://52.10.207.79:8080/getComments,,141,69
