timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Filename,Latency,Connect
1436678388698,1096,HTTP Request,200,OK,Thread Group 1-1,text,true,681749,6,6,http://52.10.207.79:8080/getupimage,,152,71
1436678388897,1838,HTTP Request,200,OK,Thread Group 1-2,text,true,681749,10,10,http://52.10.207.79:8080/getupimage,,840,70
1436678389094,2447,HTTP Request,200,OK,Thread Group 1-3,text,true,681749,13,13,http://52.10.207.79:8080/getupimage,,1526,66
1436678389295,3123,HTTP Request,200,OK,Thread Group 1-4,text,true,681749,16,16,http://52.10.207.79:8080/getupimage,,2189,68
1436678389500,3836,HTTP Request,200,OK,Thread Group 1-5,text,true,681749,20,20,http://52.10.207.79:8080/getupimage,,2857,68
1436678389699,4501,HTTP Request,200,OK,Thread Group 1-6,text,true,681749,23,23,http://52.10.207.79:8080/getupimage,,3583,67
1436678389902,5165,HTTP Request,200,OK,Thread Group 1-7,text,true,681749,26,26,http://52.10.207.79:8080/getupimage,,4238,68
1436678390101,5919,HTTP Request,200,OK,Thread Group 1-8,text,true,681749,30,30,http://52.10.207.79:8080/getupimage,,4904,73
1436678390504,6401,HTTP Request,200,OK,Thread Group 1-10,text,true,681749,33,33,http://52.10.207.79:8080/getupimage,,5406,68
1436678390301,7427,HTTP Request,200,OK,Thread Group 1-9,text,true,681749,37,37,http://52.10.207.79:8080/getupimage,,6483,70
1436678392309,6346,HTTP Request,200,OK,Thread Group 1-19,text,true,681749,40,40,http://52.10.207.79:8080/getupimage,,5419,70
1436678392909,6638,HTTP Request,200,OK,Thread Group 1-22,text,true,681749,39,39,http://52.10.207.79:8080/getupimage,,5688,70
1436678391908,8518,HTTP Request,200,OK,Thread Group 1-17,text,true,681749,38,38,http://52.10.207.79:8080/getupimage,,7582,69
1436678393312,7983,HTTP Request,200,OK,Thread Group 1-24,text,true,681749,37,37,http://52.10.207.79:8080/getupimage,,7053,67
1436678394916,7312,HTTP Request,200,OK,Thread Group 1-32,text,true,681749,36,36,http://52.10.207.79:8080/getupimage,,6349,68
1436678396722,6387,HTTP Request,200,OK,Thread Group 1-41,text,true,681749,35,35,http://52.10.207.79:8080/getupimage,,5444,68
1436678393112,10945,HTTP Request,200,OK,Thread Group 1-23,text,true,681749,34,34,http://52.10.207.79:8080/getupimage,,9937,3064
1436678394112,10807,HTTP Request,200,OK,Thread Group 1-28,text,true,681749,33,33,http://52.10.207.79:8080/getupimage,,9890,3063
1436678398528,7272,HTTP Request,200,OK,Thread Group 1-50,text,true,681749,32,32,http://52.10.207.79:8080/getupimage,,6333,69
1436678391303,15410,HTTP Request,200,OK,Thread Group 1-14,text,true,681749,31,31,http://52.10.207.79:8080/getupimage,,14435,9066
1436678394714,12166,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-31,text,false,2452,30,30,http://52.10.207.79:8080/getupimage,,0,3076
1436678393514,14258,HTTP Request,200,OK,Thread Group 1-25,text,true,681749,29,29,http://52.10.207.79:8080/getupimage,,13273,67
1436678395518,13654,HTTP Request,200,OK,Thread Group 1-35,text,true,681749,28,28,http://52.10.207.79:8080/getupimage,,12321,3070
1436678390703,18976,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-11,text,false,2516,27,27,http://52.10.207.79:8080/getupimage,,0,68
1436678390902,19153,HTTP Request,200,OK,Thread Group 1-12,text,true,681749,26,26,http://52.10.207.79:8080/getupimage,,18209,9069
1436678392105,18164,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-18,text,false,2452,25,25,http://52.10.207.79:8080/getupimage,,0,9069
1436678391507,18988,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-15,text,false,2516,24,24,http://52.10.207.79:8080/getupimage,,0,68
1436678392707,18162,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-21,text,false,2452,23,23,http://52.10.207.79:8080/getupimage,,0,9076
1436678397322,13800,HTTP Request,200,OK,Thread Group 1-44,text,true,681749,22,22,http://52.10.207.79:8080/getupimage,,12805,3062
1436678395717,16365,HTTP Request,200,OK,Thread Group 1-36,text,true,681749,21,21,http://52.10.207.79:8080/getupimage,,15406,9075
