timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Filename,Latency,Connect
1436679036593,145,HTTP Request,500,Internal Server Error,Thread Group 1-1,text,false,2024,1,1,http://52.10.207.79:8080/postcomment,,145,68
1436679070995,150,HTTP Request,200,OK,Thread Group 1-1,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,149,67
1436679108571,150,HTTP Request,200,OK,Thread Group 1-1,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,150,69
1436679108768,148,HTTP Request,200,OK,Thread Group 1-2,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,69
1436679108971,148,HTTP Request,200,OK,Thread Group 1-3,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,69
1436679109176,151,HTTP Request,200,OK,Thread Group 1-4,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,151,71
1436679109374,149,HTTP Request,200,OK,Thread Group 1-5,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,149,69
1436679109575,147,HTTP Request,200,OK,Thread Group 1-6,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,147,69
1436679109774,148,HTTP Request,200,OK,Thread Group 1-7,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,69
1436679109979,148,HTTP Request,200,OK,Thread Group 1-8,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,69
1436679110179,146,HTTP Request,200,OK,Thread Group 1-9,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,146,68
1436679110375,148,HTTP Request,200,OK,Thread Group 1-10,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,69
1436679110579,149,HTTP Request,200,OK,Thread Group 1-11,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,149,68
1436679110779,148,HTTP Request,200,OK,Thread Group 1-12,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,69
1436679110981,150,HTTP Request,200,OK,Thread Group 1-13,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,150,69
1436679111181,149,HTTP Request,200,OK,Thread Group 1-14,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,149,70
1436679111380,159,HTTP Request,200,OK,Thread Group 1-15,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,159,70
1436679111584,147,HTTP Request,200,OK,Thread Group 1-16,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,147,68
1436679111785,147,HTTP Request,200,OK,Thread Group 1-17,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,147,69
1436679111984,148,HTTP Request,200,OK,Thread Group 1-18,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,68
1436679112186,147,HTTP Request,200,OK,Thread Group 1-19,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,147,68
1436679112385,150,HTTP Request,200,OK,Thread Group 1-20,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,150,70
1436679112588,151,HTTP Request,200,OK,Thread Group 1-21,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,151,70
1436679112790,146,HTTP Request,200,OK,Thread Group 1-22,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,146,68
1436679112986,149,HTTP Request,200,OK,Thread Group 1-23,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,149,69
1436679113189,147,HTTP Request,200,OK,Thread Group 1-24,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,147,69
1436679113389,148,HTTP Request,200,OK,Thread Group 1-25,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,70
1436679113590,150,HTTP Request,200,OK,Thread Group 1-26,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,150,70
1436679113790,150,HTTP Request,200,OK,Thread Group 1-27,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,150,69
1436679113988,146,HTTP Request,200,OK,Thread Group 1-28,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,146,68
1436679114189,147,HTTP Request,200,OK,Thread Group 1-29,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,147,68
1436679114392,146,HTTP Request,200,OK,Thread Group 1-30,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,146,66
1436679114592,148,HTTP Request,200,OK,Thread Group 1-31,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,70
1436679114790,147,HTTP Request,200,OK,Thread Group 1-32,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,147,67
1436679114990,149,HTTP Request,200,OK,Thread Group 1-33,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,149,68
1436679115192,148,HTTP Request,200,OK,Thread Group 1-34,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,69
1436679115391,149,HTTP Request,200,OK,Thread Group 1-35,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,149,69
1436679115591,146,HTTP Request,200,OK,Thread Group 1-36,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,146,68
1436679115792,150,HTTP Request,200,OK,Thread Group 1-37,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,150,68
1436679115993,148,HTTP Request,200,OK,Thread Group 1-38,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,69
1436679116194,148,HTTP Request,200,OK,Thread Group 1-39,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,69
1436679116396,148,HTTP Request,200,OK,Thread Group 1-40,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,67
1436679116598,148,HTTP Request,200,OK,Thread Group 1-41,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,69
1436679116796,155,HTTP Request,200,OK,Thread Group 1-42,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,155,76
1436679116997,148,HTTP Request,200,OK,Thread Group 1-43,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,68
1436679117198,149,HTTP Request,200,OK,Thread Group 1-44,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,149,68
1436679117397,145,HTTP Request,200,OK,Thread Group 1-45,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,145,66
1436679117601,148,HTTP Request,200,OK,Thread Group 1-46,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,148,69
1436679117797,156,HTTP Request,200,OK,Thread Group 1-47,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,156,71
1436679117999,149,HTTP Request,200,OK,Thread Group 1-48,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,149,70
1436679118203,149,HTTP Request,200,OK,Thread Group 1-49,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,149,69
1436679118399,147,HTTP Request,200,OK,Thread Group 1-50,text,true,152,1,1,http://52.10.207.79:8080/postcomment,,147,69
