timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Filename,Latency,Connect
1436672567426,9461,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-14,text,false,2754,50,50,http://52.10.207.79:8080/uploadpics,,0,71
1436672567618,9441,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-15,text,false,2754,49,49,http://52.10.207.79:8080/uploadpics,,0,70
1436672565809,12173,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-6,text,false,2754,48,48,http://52.10.207.79:8080/uploadpics,,0,3068
1436672569218,9450,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-23,text,false,2754,47,47,http://52.10.207.79:8080/uploadpics,,0,69
1436672567013,12169,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-12,text,false,2754,46,46,http://52.10.207.79:8080/uploadpics,,0,3069
1436672570623,9482,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-30,text,false,2754,45,45,http://52.10.207.79:8080/uploadpics,,0,70
1436672571221,9446,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-33,text,false,2754,44,44,http://52.10.207.79:8080/uploadpics,,0,70
1436672569820,12161,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-26,text,false,2754,43,43,http://52.10.207.79:8080/uploadpics,,0,3066
1436672564800,18980,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-1,text,false,2754,42,42,http://52.10.207.79:8080/uploadpics,,0,71
1436672564997,18986,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-2,text,false,2754,41,41,http://52.10.207.79:8080/uploadpics,,0,69
1436672566012,18986,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-7,text,false,2754,40,40,http://52.10.207.79:8080/uploadpics,,0,69
1436672566813,18188,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-11,text,false,2754,39,39,http://52.10.207.79:8080/uploadpics,,0,9080
1436672566215,19024,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-8,text,false,2754,38,38,http://52.10.207.79:8080/uploadpics,,0,71
1436672567815,18199,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-16,text,false,2754,37,37,http://52.10.207.79:8080/uploadpics,,0,9086
1436672568016,18165,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-17,text,false,2754,36,36,http://52.10.207.79:8080/uploadpics,,0,9072
1436672565201,21008,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://52.10.207.79:8080 refused,Thread Group 1-3,text,false,2266,35,35,http://52.10.207.79:8080/uploadpics,,0,0
1436672565402,21010,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://52.10.207.79:8080 refused,Thread Group 1-4,text,false,2266,34,34,http://52.10.207.79:8080/uploadpics,,0,0
1436672565608,21008,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://52.10.207.79:8080 refused,Thread Group 1-5,text,false,2266,33,33,http://52.10.207.79:8080/uploadpics,,0,0
1436672569019,18164,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-22,text,false,2754,32,32,http://52.10.207.79:8080/uploadpics,,0,9070
1436672566415,21013,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://52.10.207.79:8080 refused,Thread Group 1-9,text,false,2266,31,31,http://52.10.207.79:8080/uploadpics,,0,0
1436672569419,18170,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-24,text,false,2754,30,30,http://52.10.207.79:8080/uploadpics,,0,9075
1436672566611,21002,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://52.10.207.79:8080 refused,Thread Group 1-10,text,false,2266,29,29,http://52.10.207.79:8080/uploadpics,,0,0
1436672567216,21010,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://52.10.207.79:8080 refused,Thread Group 1-13,text,false,2266,28,28,http://52.10.207.79:8080/uploadpics,,0,0
1436672570823,18195,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-31,text,false,2754,27,27,http://52.10.207.79:8080/uploadpics,,0,9094
1436672568219,21011,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://52.10.207.79:8080 refused,Thread Group 1-18,text,false,2266,26,26,http://52.10.207.79:8080/uploadpics,,0,0
1436672568423,21026,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://52.10.207.79:8080 refused,Thread Group 1-19,text,false,2266,25,25,http://52.10.207.79:8080/uploadpics,,0,0
1436672571422,18168,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-34,text,false,2754,24,24,http://52.10.207.79:8080/uploadpics,,0,9075
1436672568616,21017,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://52.10.207.79:8080 refused,Thread Group 1-20,text,false,2266,23,23,http://52.10.207.79:8080/uploadpics,,0,0
1436672573229,17168,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-43,text,false,2034,22,22,http://52.10.207.79:8080/uploadpics,,0,0
1436672574029,16370,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-47,text,false,2034,22,22,http://52.10.207.79:8080/uploadpics,,0,0
1436672573025,17372,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-42,text,false,2662,22,22,http://52.10.207.79:8080/uploadpics,,0,68
1436672570024,20380,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-27,text,false,2034,19,19,http://52.10.207.79:8080/uploadpics,,0,0
1436672573829,16576,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-46,text,false,2034,18,18,http://52.10.207.79:8080/uploadpics,,0,0
1436672574433,15982,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-49,text,false,2662,17,17,http://52.10.207.79:8080/uploadpics,,0,9082
1436672571626,18790,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-35,text,false,2034,17,17,http://52.10.207.79:8080/uploadpics,,0,0
1436672572825,17595,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-41,text,false,2034,15,15,http://52.10.207.79:8080/uploadpics,,0,0
1436672572026,18396,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-37,text,false,2662,14,14,http://52.10.207.79:8080/uploadpics,,0,9092
1436672572426,17999,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-39,text,false,2034,13,13,http://52.10.207.79:8080/uploadpics,,0,0
1436672572223,18204,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-38,text,false,2662,13,13,http://52.10.207.79:8080/uploadpics,,0,3064
1436672574636,15792,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-50,text,false,2034,12,12,http://52.10.207.79:8080/uploadpics,,0,0
1436672570420,20009,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-29,text,false,2034,12,12,http://52.10.207.79:8080/uploadpics,,0,0
1436672569619,20814,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-25,text,false,2034,9,9,http://52.10.207.79:8080/uploadpics,,0,0
1436672573429,17003,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-44,text,false,2034,9,9,http://52.10.207.79:8080/uploadpics,,0,0
1436672572626,17812,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-40,text,false,2662,7,7,http://52.10.207.79:8080/uploadpics,,0,9091
1436672568815,21623,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-21,text,false,2662,7,7,http://52.10.207.79:8080/uploadpics,,0,3071
1436672573627,16812,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-45,text,false,2662,7,7,http://52.10.207.79:8080/uploadpics,,0,9088
1436672570219,20224,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-28,text,false,2034,4,4,http://52.10.207.79:8080/uploadpics,,0,0
1436672574230,16214,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-48,text,false,2662,4,4,http://52.10.207.79:8080/uploadpics,,0,68
1436672571022,19423,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Thread Group 1-32,text,false,2662,3,3,http://52.10.207.79:8080/uploadpics,,0,3064
1436672571825,18623,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket operation on nonsocket: connect,Thread Group 1-36,text,false,2034,1,1,http://52.10.207.79:8080/uploadpics,,0,0
1436672693356,9446,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-14,text,false,2754,50,50,http://52.10.207.79:8080/uploadpics,,0,70
1436672693558,9443,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-15,text,false,2754,49,49,http://52.10.207.79:8080/uploadpics,,0,71
1436672694558,9447,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,Thread Group 1-20,text,false,2754,48,48,http://52.10.207.79:8080/uploadpics,,0,68
